Login Timestamp,User ID,IP Address,Country,Region,City,Browser Name and Version,Device Type,Login Successful,Anomaly in IP Address,Anomaly in Country,Anomaly in Region,Anomaly in City,Anomaly in Browser Name and Version,Anomaly in Device Type
45:20.8,-4.32448e+18,23.137.225.255,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
45:23.0,8.06118e+18,10.0.56.220,NO,-,-,Opera Mobile 52.1.2254,mobile,False,1,1,1,1,1,1
45:24.2,8.441e+18,10.0.160.77,NO,Viken,Sem,Chrome 86.0.4202,desktop,True,1,1,1,-1,1,1
45:24.6,8.76471e+18,92.220.155.110,NO,Vestland,Bergen,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
45:25.2,-7.88402e+17,156.52.54.27,NO,Viken,Gressvik,Chrome 85.0.4163,desktop,False,1,1,1,1,1,1
45:25.4,-6.19463e+18,66.68.233.240,US,Texas,McAllen,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:27.0,-3.93243e+18,187.73.163.218,BR,Minas Gerais,Machado,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
45:30.2,-4.32448e+18,10.0.1.33,DK,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:30.3,-4.32448e+18,103.20.90.20,ID,East Java,Surabaya,Opera Mini 19.0.2254,mobile,False,1,1,1,1,1,1
45:31.2,7.30645e+18,176.107.143.231,PL,Mazovia,Warsaw,Firefox 20.0.0.1681,mobile,True,-1,1,1,1,1,1
45:31.6,-4.32448e+18,158.149.139.54,NO,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
45:35.6,1.54626e+18,10.0.160.26,NO,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:36.4,4.94498e+17,37.148.220.204,AU,-,-,Chrome Mobile WebView 85.0.4183,mobile,True,1,-1,1,1,1,1
45:36.6,-5.62423e+18,158.248.40.182,NO,Vestland,Bergen,Android 2.0.0.2442,mobile,False,1,1,1,1,1,1
45:37.7,-4.32448e+18,109.74.191.177,NO,Viken,Naersnes,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
45:44.4,3.8496e+17,23.137.225.194,US,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
45:44.6,-5.01e+18,10.0.62.13,NO,Viken,Trollasen,Chrome 87.0.4280.408.410,mobile,True,1,1,1,1,-1,1
45:49.9,-4.32e+18,156.52.83.9,BR,-,-,Opera Mobile 52.1.2254.2413,mobile,False,1,1,1,1,1,1
45:51.7,-4.32e+18,23.137.224.144,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:53.8,-4.98e+18,37.191.170.240,NO,Oslo County,Oslo,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
45:54.5,-4.32e+18,156.52.83.9,BR,-,-,Chrome 72.0.3626.58,desktop,False,1,1,1,1,1,1
45:54.9,-4.32e+18,209.236.117.212,US,-,-,Chrome Mobile WebView 80.0.3987,mobile,False,1,1,1,1,1,1
45:56.3,2.93e+18,185.82.200.219,AU,-,-,Chrome Mobile 51.0.2704,mobile,True,1,-1,1,1,1,1
45:56.8,-4.32e+18,10.0.117.53,NO,Vestland,Askvoll,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
45:57.4,-4.32e+18,170.39.76.210,US,-,-,Chrome Mobile 63.0.3239,mobile,False,1,1,1,1,1,1
46:00.9,8.28e+18,170.39.78.252,US,-,-,Snapchat 11.8.1,mobile,False,1,1,1,1,1,1
46:02.1,-4.32e+18,199.26.84.170,US,-,-,Chrome Mobile 81.0.4044.1931,mobile,False,1,1,1,1,1,1
46:10.4,-4.32e+18,80.211.248.182,PL,Mazovia,Warsaw,Chrome Mobile 81.0.4044.1949,mobile,False,1,1,1,1,1,1
46:10.6,-4.32e+18,92.221.154.154,NO,Møre og Romsdal,Kleppe,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
46:11.8,-2.88e+18,80.69.202.186,DE,Hesse,Witzenhausen,Chrome Mobile WebView 85.0.4183,mobile,True,1,1,-1,1,1,1
46:12.0,7.6e+18,51.175.59.45,NO,Viken,Solbergelva,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
46:14.4,-4.32e+18,77.106.161.131,NO,Innlandet,Fagernes,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
46:16.2,-4.32e+18,10.0.105.195,IN,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
46:16.7,8.73e+17,103.250.151.168,IN,Gujarat,Siddhapur,Chrome Mobile WebView 85.0.4183,mobile,True,1,1,-1,1,1,1
46:18.2,-4.32e+18,79.160.104.53,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
46:21.7,-6.62e+18,81.166.20.84,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
46:22.2,-4.32e+18,10.0.105.195,IN,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
46:25.2,-4.11e+18,89.162.1.49,NO,Nordland,Bodø,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
46:25.3,-4.32e+18,10.0.160.153,NO,-,-,Opera 65.0.3467,desktop,False,1,1,1,1,1,1
46:25.8,-4.32e+18,37.191.162.246,NO,Oslo County,Oslo,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
46:27.9,4.47e+18,37.97.12.76,NO,-,-,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
46:29.2,-4.32e+18,46.212.29.200,NO,Viken,Nesodden,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
46:29.9,-1.65e+18,170.39.76.220,US,-,-,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
46:31.6,-4.32e+18,84.209.221.148,NO,Viken,Finstadjordet,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
46:31.8,-4.32e+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
46:32.0,-7.19e+18,79.161.166.165,NO,Vestfold og Telemark,Notodden,Chrome Mobile WebView 88.0.4324,mobile,True,1,1,1,-1,1,1
46:35.0,-4.32e+18,10.0.70.37,NO,Oslo County,Oslo,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
46:37.0,-5.95e+18,10.0.160.77,NO,Viken,Sem,Chrome 69.0.3497.17.19,desktop,True,1,1,1,-1,1,1
46:40.0,-7.19e+18,79.161.166.165,NO,Vestfold og Telemark,Notodden,Chrome Mobile WebView 88.0.4324,mobile,True,1,1,1,-1,1,1
46:44.1,-4.32e+18,81.166.183.10,NO,Vestfold og Telemark,Sandefjord,Chrome Mobile WebView 80.0.3987,mobile,False,1,1,1,1,1,1
46:44.9,-4.32e+18,10.0.3.89,RO,-,-,Chrome 72.0.3626.115,desktop,False,1,1,1,1,1,1
46:45.1,-4.32e+18,10.0.3.72,RO,Buzau,Rusetu,Chrome 72.0.3626.115,desktop,False,1,1,1,1,1,1
46:46.6,4.62e+18,92.221.154.154,NO,Møre og Romsdal,Kleppe,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
46:48.3,-2.59e+18,170.0.93.65,AR,Entre Rios,Gualeguaychú,Android 2.3.3.2672,mobile,True,-1,-1,1,1,1,1
46:50.8,-4.32e+18,81.167.121.189,NO,Innlandet,Brandbu,Chrome 86.0.4202,desktop,False,1,1,1,1,1,1
46:52.5,-4.32e+18,170.39.76.220,US,-,-,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
46:53.4,-4.32e+18,170.39.78.28,US,-,-,Chrome Mobile 81.0.4044.1944,mobile,False,1,1,1,1,1,1
46:55.5,9.19e+18,10.0.183.79,RO,Arges,Curtea de Arges,Chrome 69.0.3497.17.19,desktop,True,1,1,-1,1,1,1
46:55.7,-4.32e+18,170.39.78.177,US,-,-,Chrome Mobile 81.0.4044.1931,mobile,False,1,1,1,1,1,1
46:56.2,-4.32e+18,10.0.64.42,NO,-,-,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
47:01.7,-4.32e+18,170.39.77.254,US,-,-,Chrome Mobile 63.0.3239,mobile,False,1,1,1,1,1,1
47:03.1,1.85e+18,23.137.225.177,US,-,-,Android 2.2.2.2634,mobile,True,1,1,1,1,-1,1
47:03.5,-3.71e+18,199.26.84.65,US,-,-,IE Mobile 11.0,mobile,False,1,1,1,1,1,1
47:03.7,-5.38e+18,115.69.219.34,ID,East Java,Surabaya,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
47:05.6,-7.47e+18,170.39.78.201,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
47:11.0,-8.74e+18,193.26.147.135,CA,-,-,Chrome Mobile 81.0.4044.1950,mobile,True,1,-1,1,1,1,1
47:14.5,-4.32e+18,79.161.71.15,NO,Vestland,Stord,Opera Mini 20.0.2254,tablet,False,1,1,1,1,1,1
47:15.4,2.95e+18,92.221.9.238,NO,Rogaland,Stavanger,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
47:15.7,-4.32e+18,77.106.130.37,NO,Innlandet,Loten,Android 2.3.3.2672,tablet,False,1,1,1,1,1,1
47:15.8,-5.1e+18,84.48.135.147,NO,Vestland,Florvag,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:18.6,-4.32e+18,81.167.121.189,NO,Innlandet,Brandbu,Chrome 86.0.4202,desktop,False,1,1,1,1,1,1
47:22.0,-4.32e+18,81.166.183.10,NO,Vestfold og Telemark,Sandefjord,Chrome Mobile WebView 80.0.3987,mobile,False,1,1,1,1,1,1
47:22.3,-4.32e+18,79.160.141.134,NO,Innlandet,Lillehammer,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
47:25.5,-4.32e+18,66.248.237.86,US,-,-,Chrome Mobile 81.0.4044.2000,mobile,False,1,1,1,1,1,1
47:25.9,2.93e+18,185.82.200.219,AU,-,-,Chrome Mobile 51.0.2704,mobile,True,1,-1,1,1,1,1
47:28.0,-6.82e+18,81.166.116.24,NO,Rogaland,Stavanger,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
47:28.3,5.24e+18,80.203.223.105,NO,Viken,Hokksund,Chrome 86.0.4240.378.379,desktop,False,1,1,1,1,1,1
47:29.0,-4.32e+18,109.74.191.177,NO,Viken,Naersnes,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:29.4,-4.32e+18,193.57.249.3,FR,-,-,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:30.6,-4.32e+18,51.174.176.62,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
47:35.2,7.13e+18,10.1.18.152,NO,-,-,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:35.9,-6.68e+18,193.150.121.180,NO,-,-,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
47:36.1,-4.32e+18,185.146.96.19,PL,Greater Poland,Suchy Las,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:39.4,-4.32e+18,66.68.155.15,US,Texas,Wimberley,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
47:39.9,-4.32e+18,10.0.105.195,IN,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
47:40.9,5.51e+18,158.149.137.8,NO,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
47:41.5,-4.32e+18,158.149.139.54,NO,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
47:43.4,-1.94e+17,213.162.247.31,NO,-,-,Chrome 69.0.3497.17.19,desktop,True,-1,1,1,1,1,1
47:53.3,-4.32e+18,10.0.160.26,NO,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
47:54.7,-4.32e+18,89.238.76.118,DE,-,-,MiuiBrowser 12.5.10,mobile,False,1,1,1,1,1,1
47:56.1,-4.32e+18,209.236.117.238,US,-,-,Firefox 20.0.0.1775,mobile,False,1,1,1,1,1,1
47:56.8,-4.32e+18,23.137.224.131,US,-,-,Snapchat 11.8.1,mobile,False,1,1,1,1,1,1
47:57.5,8.59e+18,81.167.108.115,NO,Nordland,Gravdal,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
47:57.9,-7.8e+18,10.0.64.41,NO,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
47:59.7,-4.32e+18,23.137.225.139,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
48:00.3,5.26e+18,83.243.162.119,NO,Møre og Romsdal,Ålesund,Chrome 79.0.3945.192.203,desktop,True,1,1,1,-1,1,1
48:00.4,-4.32e+18,10.1.38.113,IN,Maharashtra,Mumbai,Chrome Mobile WebView 80.0.3987,mobile,False,1,1,1,1,1,1
48:01.1,-4.32e+18,10.1.38.113,IN,Maharashtra,Mumbai,Chrome Mobile WebView 80.0.3987,mobile,False,1,1,1,1,1,1
48:01.9,-4.32e+18,81.166.70.207,NO,Rogaland,Stavanger,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
48:02.5,6.87e+18,23.137.224.28,US,-,-,Chrome Mobile 81.0.4044.2917.2918,mobile,False,1,1,1,1,1,1
48:03.2,-4.32e+18,152.93.38.9,NO,-,-,Chrome 86.0.4202,desktop,False,1,1,1,1,1,1
48:05.4,-4.32e+18,84.48.83.61,NO,-,-,Chrome 72.0.3626,desktop,False,1,1,1,1,1,1
48:07.2,-4.32e+18,81.167.160.25,NO,Viken,Moss,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
48:09.8,-5.02e+18,31.172.168.14,PL,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
48:11.7,-4.32e+18,156.52.83.9,BR,-,-,Chrome 72.0.3626.58,desktop,False,1,1,1,1,1,1
48:12.9,-4.32e+18,209.236.117.138,US,-,-,Chrome Mobile 80.0.3987,mobile,False,1,1,1,1,1,1
48:18.1,-5.04e+18,109.247.40.98,NO,Møre og Romsdal,Molde,Chrome Mobile 78.0.3904,mobile,False,1,1,1,1,1,1
48:23.7,-4.32e+18,209.236.123.16,US,-,-,Firefox 20.0.0.1618,mobile,False,1,1,1,1,1,1
48:25.9,-2.59e+18,209.236.123.126,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
48:27.5,-4.32e+18,156.52.26.234,NO,-,-,Chrome 79.0.3945.192.203,desktop,False,1,1,1,1,1,1
48:28.4,-4.32e+18,209.236.125.164,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
48:29.1,-4.32e+18,158.248.81.184,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
48:33.8,4.75e+18,2.148.9.26,NO,Møre og Romsdal,Ålesund,Chrome 69.0.3497.17.19,desktop,True,-1,1,1,-1,1,1
48:34.6,3.05e+18,84.208.181.25,NO,Oslo County,Oslo,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
48:36.5,1.26e+18,10.1.105.208,BR,Bahia,Capim Grosso,Chrome 79.0.3945.192.203,desktop,False,1,1,1,1,1,1
48:38.3,-7.21e+18,51.175.58.162,NO,Viken,Drammen,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
48:40.9,-4.32e+18,158.248.81.184,BR,-,-,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
48:42.9,-8.19e+18,209.42.202.168,GB,-,-,Chrome Mobile 81.0.4044.1943,mobile,True,-1,1,1,1,1,1
48:44.0,-4.32e+18,92.221.201.142,NO,Vestland,Bergen,Opera Mobile 52.1.2254,mobile,False,1,1,1,1,1,1
48:45.5,-6.22e+17,109.74.191.177,NO,Viken,Naersnes,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
48:46.5,-4.32e+18,10.2.67.143,RO,-,-,Chrome Mobile 81.0.4044.1961,mobile,False,1,1,1,1,1,1
48:47.8,-4.32e+18,10.0.237.23,BR,-,-,Chrome 86.0.4202,desktop,False,1,1,1,1,1,1
48:49.6,-4.32e+18,139.164.200.28,BR,-,-,Chrome 86.0.4202,desktop,False,1,1,1,1,1,1
48:49.9,-5.81e+18,109.74.179.126,NO,Oslo County,Oslo,Chrome 72.0.3626.86,desktop,True,1,1,1,1,-1,1
48:52.0,-4.32e+18,10.0.77.226,NO,-,-,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
48:52.3,-4.32e+18,170.39.79.9,US,-,-,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
48:53.3,5.24e+18,80.203.223.105,NO,Viken,Hokksund,Chrome Mobile WebView 85.0.4183,mobile,False,1,1,1,1,1,1
48:55.6,-4.32e+18,66.68.155.15,US,Texas,Wimberley,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
48:56.2,-4.32e+18,10.2.70.109,NO,-,-,Chrome 72.0.3626.55,desktop,False,1,1,1,1,1,1
48:56.9,3.71e+18,46.250.197.53,NO,Rogaland,Haugesund,Chrome 72.0.3626,desktop,False,1,1,1,1,1,1
48:58.6,1.21e+17,79.161.79.247,NO,Vestland,Stord,Android 2.3.3.2672,mobile,False,1,1,1,1,1,1
49:00.7,7.47e+18,81.167.187.99,NO,Innlandet,Gran,Chrome 90.0.4411,desktop,False,1,1,1,1,1,1
49:02.7,4.92e+18,199.26.84.61,US,-,-,Chrome Mobile 63.0.3239,mobile,False,1,1,1,1,1,1
49:03.9,-4.32e+18,66.68.155.15,US,Texas,Wimberley,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
49:05.3,-4.32e+18,193.57.249.3,FR,-,-,Chrome 69.0.3497.17.19,desktop,False,1,1,1,1,1,1
49:06.6,-2.59e+18,77.72.129.12,AR,-,-,Chrome 37.0.2062.694,desktop,True,1,-1,1,1,-1,1
49:07.5,-4.32e+18,79.161.71.15,NO,Vestland,Stord,Opera Mini 20.0.2254,tablet,False,1,1,1,1,1,1
49:09.5,-1.18e+18,194.42.110.102,PL,Lesser Poland,Krakow,Firefox 20.0.0.1618,mobile,True,1,1,-1,1,1,1
49:16.4,-4.32e+18,66.68.155.15,US,Texas,Wimberley,Chrome Mobile WebView 81.0.4044,mobile,False,1,1,1,1,1,1
49:20.4,-2.96e+18,10.1.29.229,NO,-,-,Chrome 86.0.4240.378,desktop,True,1,1,1,1,-1,1
49:23.3,6.14e+18,78.91.140.172,NO,-,-,Chrome 69.0.3497.17.19,desktop,True,-1,1,1,1,1,1
